"Change description","Cabinet","Sub System","Component","Cluster","Initiative ID","Old PN","New PN","LP1 upgrade status","LP2 upgrade status","LP3 upgrade status","LP4 upgrade status","Photo","Related DDT","SW Config","Status","Comments","PECO"
"Change left bracket","PE","Index/Edge Sensors",,"CL3","IPRG-3641",,"NA","Installed","Installed","Installed","Installed","original-40103fea-dbad-4cb4-b9a1-d85ee768c7ca.jpeg",,"No","Done",,
"Replace external heaters mount from captive to screw","PE","BDV","External Heater lamp","CL1",,,,"Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][8]_[EH mount][1]_[8].jpeg",,"No","Done","Upgrade on hold. Waiting for decision regrading EH lamp type- extrusion or sheet metal",
"Replace lower hoods front cage mount brackets","PE","BDV","Lower Hoods","CL1",,,"CA002-87320","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][18]_[Lower hood bracket][2]_[10].jpeg",,"No","Done",,
"Replace hoods pressure sensors mount bracket","PE","BDV","Pressure sensors","CL1",,,"CA002-81320","Installed","Installed","Installed","Installed",,,"No","Done",,
"Replace air knife frame mount bracket","PE","BDV","Air Knife","CL1",,,,"Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][8]_[AK mount][2]_[11].jpeg",,"No","Done",,
"Add restrictor to service manifold","PE","T1",,"CL1","IPRG-753","NA","0100-6845","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][10]_[Restrictor][2]_[12].jpeg",,"No","Done",,
"Replace front and rear flag sensor bracket","PE","T1",,"CL1","IPRG-753","CA001-75670","CA002-75671","Installed","Installed","Installed","Installed","original-f9caf93c-ecda-4f17-871f-e54f7160fd34.jpeg",,"No","Done",,
"Add hard stop to 2nd engage piston (T1 force piston hard stop)","PE","T1",,"CL1","IPRG-753","NA","CA002-78050","Installed","Installed","Installed","Installed","original-8eeb8e91-7647-44cf-ae63-66dcf974fd35.jpeg",,"No","Done",,
"Replace front arm sensor holder","PE","aSid Interface","aSid front arm","CL1","IPRG-1703","CA001-80670","CA001-80671","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][15]_[asid arm sensor][1]_[8].jpeg","286","No","Done",,
"Guide bracket replaced with new material to avoid banding","PE","BID Interface","BID rails","CL1",,,"CA002-47460","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][13]_[BID Interface][1]_[4].jpeg",,"No","Done",,
"Replace reservoir clean cover ","PE","IMO System",,"CL1",,"CA002-50810","CA002-50811","Not Relevant","Not Relevant","Installed","Installed","original-e96b29d6-a18b-454b-9680-e615a13ef573.jpeg","216","No","Done",,
"Replace rear EP bracket","PE","Tensioner",,"CL1",,"CA002-35210","CA002-35211","Installed","Installed","Installed","Installed","original-55afceb4-2f93-4339-8427-900d49a28df7.jpeg",,"No","Done",,
"Change edge sensor bracket","PE","Index/Edge Sensors",,"CL2",,,,"Installed","Installed","Installed","Installed","original-c81c1f35-05a2-4062-8e38-4c2e1715be5b.jpeg",,"No","Done",,
"Change right bracket","PE","Index/Edge Sensors",,"CL3","IPRG-3641",,"NA","Installed","Installed","Installed","Installed","original-fdf0d43f-ea4b-4fbc-858e-d0ad86539640.jpeg",,"No","Done",,
"Replace SG and separator platform","PE","IMO System",,"CL1",,"CA002-49980","CA002-49981","Not Relevant","Installed","Installed","Installed","original-7e82789e-248c-4bd2-928a-894e94600052.jpeg",,"No","Done",,
"Pneumatic manifold EP cable replaced with longer cable","PE","PE Wiring",,"CL1",,,,"Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][8]_[EP cable][2]_[10].jpeg","182","No","Done",,
"Replace Front LC EP bracket","PE","Tensioner",,"CL1",,,"CA002-68530","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][13]_[EP LC bracket][1]_[7].jpeg",,"No","Done",,
"Add silencer to avoid back pressure ","PE","PE Pneumatics",,"CL1",,,"0100-6672","Installed","Installed","Installed","Installed","Reserved_ImageAttachment_[5]_[Photo][8]_[Silencer][1]_[3].jpeg",,"No","Done",,
"Replace upper hood EH connector bracket","PE","BDV","Upper Hoods","CL1",,,,"Installed","Installed","Installed","Installed","original-b3c9045d-c24a-42d5-9e0c-d780ae31026d.jpeg",,"No","Done",,
"CR front rails guide pin replaced with longer part","PE","Charge Roller","CR rails","CL1",,,"CA002-69000","Installed","Installed","Installed","Installed","original-9469478e-066f-459c-a0b7-fd832b6fe339.jpeg",,"No","Done","Not relevant for new housing in cluster3",
"stir 2.0","PE","Stir",,"CL5","IPRG-1343",,"CA002-71260- tray  CA003-42140  CA003-52280","Installed","Installed","Installed","Installed",,"0","Yes","Done",,"Yes"
"replace cvc pipes flunges","PE","BDV","Suction pipes","CL1",,,"CA002-87660","Installed","Installed","Installed","Installed","original-c5cb8fe6-1d86-42ff-b130-e9d04519afa9.jpeg",,"No","Done","CA002-17360, CA002-87640",
"Replace hood1 mirs bracket","PE","BDV","Upper hoods","CL1",,,"CA002-93490","Installed","Installed","Installed","Installed","pro-1ByxdIBp.jpeg",,"No","Done",,
"Replace upper hoods pneumatic valve and bracket","PE","BDV","Hoods Pneumatics","CL1",,,,"Installed","Installed","Installed","Installed","original-d21da3d4-ab11-4e8c-9720-4bc2bebba07d.jpeg",,"No","Done",,
"Replace welded drum with extrusion drum","PE","Tensioner","Tensioner Drum ","CL1",,"CA002-46240 ","CA002-42550","Installed","Installed","Installed","Installed","original-c84416a8-5a3d-4658-bb9d-2c388adfdc0b.jpeg",,"No","Done",,
"Replace tensioner homing flag","PE","Tensioner","Homing flag","CL1",,,,"Installed","Installed","Installed","Installed","original-289ee954-5a12-4bf9-8ad0-d883ffea817f.jpeg",,"No","Done",,
"Replace CS front arm, catch tray and onnector bracket","PE","Cleaning Station","CS","CL1",,,"CA002-21230, CA002-24900, CA001-53820, CA001-53830, 1410-2349","Installed","Installed","Installed","Installed","original-f5e50cb9-9890-4085-bfd3-0a52181739f2.jpeg",,"No","Done",,
"1/4"" SAS pipes from RDU to ink tank","UIC","SAS","SAS pipes","CL1",,,,"Not Relevant","Not Relevant","Installed","Not Relevant",,,"No","Done",,
"EBH and Hood 5 orifis","PE","BDV","upper hoods","CL1",,,,"Installed","Installed","Installed","Installed","original-76f9d457-e815-4975-adf7-4edbf68f8e08.jpeg",,"No","Done",,
"Asid mirs bracket replaced","PE","Cleaning Station","Mirs bracket","CL2",,,,"Installed","Installed","Installed","Installed","original-083bbfb2-b26b-4085-b459-6962ae0a73ab.jpeg",,"No","Done",,"NA"
"Change lower heating lamps to extrusion lamps","PE","BDV","external heating lamps","CL1",,,,"Installed","Installed","Installed","Installed",,,"No","Done","Following flame incident- installed as short term solution",
"Change silica gel handle","PE","IMO System","silica gel","CL1",,,"CA003-00640","Installed","Installed","Installed","Installed","original-c50ad5d2-772e-4164-ab7e-1ed1522ab224.jpeg",,"No","Done",,
"Remove check valves from all ink tanks flow towers","PE","Ink Tanks","SAS pipe","CL1",,,,"Installed","Installed","Installed","Installed",,,"No","Done","done only on station#5 (white ink on revolver)",
"Replace odcs axis to shorter axis","PE","Ink Tanks","ODCS","CL1",,,"CA002-85180","Installed","Installed","Installed","Installed","original-ff1c2a86-7115-48df-87ed-58c9305e7939.jpeg",,"No","Done",,
"Change rear sensor connector bracket location from shaft to shoulder","PE","Tensioner","Extrusion Drum","CL1",,,,"Installed","Installed","Installed","Installed","pro-vndXjLXh.jpeg",,"No","Done",,
"Impression motor holder","PE","Impression","Impression motor","CL1",,,,"Installed","Installed","Installed","Installed","original-be373d2b-966a-4a70-b14a-0aa21480a5ca.jpeg",,"No","Done",,
"Replace tenioner drum sensor","PE","Tensioner",,"CL1",,"CA454-03800","CA645-01940","Installed","Installed","Installed","Installed","original-b73d115e-4460-460b-8279-b6b8683b3dfb.jpeg",,"No","Done","Sensor and brackets ",
"Add stopper on tensioner screw ball","PE","Tensioner","tensioner motor","CL1",,,,"Installed","Installed","Installed","Installed","original-dcb3f8ef-aa21-4154-92e3-bc1a6548b304.jpeg",,"No","Done",,
"Seperate corona modbus emc noise in PWS EC","PWS","ILP Corona",,"CL1",,,,"Installed","Installed","Installed","Installed","original-51c9a048-b967-4817-b595-a2e954eb94a0.jpeg",,"No","Done",,
"Replace a2p in PWS pneumatic panel","PWS","PWS WEB Thread","PWS pneumatics","CL2",,,"0960-2458","Installed","Installed","Installed","Installed",,,"No","Done","same wiring an sw. need to change pneumatic panel bracket",
"T1 extrusion rollers","PE","T1",,"CL1","IPRG-753",,"CA001-89941","Not Relevant","Not Relevant","Installed","Not Relevant",,,"No","Done",,
"LPH bracket st.3","PE","LPH","Wiring bracket","CL3","IPRG-4003",,"?","Installed","Installed","Installed","Installed","pro-z96Virss.jpeg",,"No","Done",,"Yes"
"Move corona generator bracket","PWS","ILP Corona","Move corona generator bracket","CL2",,,,"Installed","Installed","Not Relevant","Installed",,,"No","Done",,
"Relpace CR pneumatic valve","PE","Charge Roller","CR pneumatic valve","CL2",,,"0491-0587","Installed","Installed","Installed","Installed","original-cef14b89-c1a5-4d85-9933-763abc21d256.jpeg",,"Yes","Done","Need SW update",
"Change AK blower bracket ","PE","BDV","AK Blower","CL2",,,,"Not Relevant","Not Relevant","Installed","Not Relevant","original-b52fb48f-7230-40fa-b26c-ebd354a83693.jpeg",,"No","Done",,
"Asid sleeve collision","PE","LPH",,"CL2",,,"CA002-70470","Installed","Installed","Installed","Installed","original-6087658f-84e2-48b2-8822-b29d7eff68eb.jpeg",,"No","Done",,"NA"
"BDV  lower hoods","PE","BDV","lower hoods","CL5","IPRG-1702",,"CA003-45900","Temporary","Installed","Temporary","Installed","original-7185ad4e-b3a0-4136-86f3-cde7fa4a3c6a.jpeg",,"No","On going","On LP2- new version (not final design)","No"
"Antistatic brushes x 5","PWS","PWS WEB Thread",,"CL2",,,"CA240-08670","Installed","Installed","Installed","Installed","original-01fa2fca-6794-4d86-a6ed-f5aeeee1e49e.jpeg",,"No","Done","material behind press",
"Replace SAS air valves","UIC","SAS",,"CL2",,,,"Not Relevant","Not Relevant","Installed","Installed","original-b6de8a97-01c6-49c1-b7a5-253e514691e0.jpeg",,"No","Done",,
"Connect BID A DC Bus cables motors to PE tensioner junction box cb 409","PE","PE Wiring",,"CL3","IPRG-4926,4925,4500,4416",,"NA","Installed","Installed","Not Installed","Installed","original-b3480729-35c8-4717-a061-de4f37412614.jpeg",,"Yes","On going","No need to change configuration. Connected to cb 409",
"Connct FE neep motor DC bus cable to UIC EC. Change from 48v to 24v","UIC","UIC EC","UIC EC","CL3",,,"NA","Installed","Installed","Not Installed","Installed","original-ee88cabb-784b-4c2f-971f-fbc5399286f9.jpeg",,"Yes","On going",,
"UIC EC phase 2","UIC","UIC EC","EJ UIC","CL3","IPRG-2920",,"NA","Installed","Installed","Not Installed","Installed",,,"Yes","On going","Replaced Mxxx.8 module in UIC EJIC601-602 from EJ4008 to EJ9001",
"IMO reservoir temp control- connect HX to filters line","PE","IMO System",,"CL5","IPRG-4161",,"?","Installed","Installed","Not Available","Installed",,,"No","On going",,"No"
"SAS single station cage for david","UIC","SAS",,"CL5",,,,"Not Relevant","Not Relevant","Not Relevant","Partial","original-b15cab75-63c4-439c-b260-b9fa84706886.jpeg",,"No","Done",,"NA"
"IC common EC removal","PE","IC common",,"CL3","IPRG-4571",,"NA","Installed","Installed","Not Installed","Installed",,,"Yes","On going","Replace ODCS cables","Yes"
"Replace ink tank motors with EBM motors and drivers","PE","Ink Tanks",,"CL5","IPRG-4901",,"CA654-03800, 0960-6792, CA441-98910 (all x 8)","Installed","Installed","Not Installed","Installed",,,"Yes","On going",,"Yes"
"Improve Electrometer box mounting","PE","Charge Roller",,"CL4","IPRG-4241",,"?","Not Relevant","Not Relevant","Not Relevant","Not Relevant",,,"No","Done","Will be replaced in cluster 4 as part of C4 new electrometer content",
"New mirs sensors- 5 degree angle","PE","BDV","Mirs sensors","CL6","IPRG-1604",,"CA002-82880","Installed","Installed","Installed","Installed",,,"Yes","Done",,"Yes"
"PWS Direct connectEMA to EC: Dryer blower, Dryer heater & corona blower ","PWS","PWS Wiring","PWS Wiring","CL3","IPRG-4925",,"NA","Installed","Installed","Installed","Installed",,,"Yes","Done",,
"BID Interface fix cycle","PE","BID Interface","BID FI","CL3","IPRG-3381",,"?","Installed","Not Relevant","Not Relevant","Not Relevant",,,"No","Done",,
"CS new catch tray design","PE","Cleaning Station","Catch tray","CL7","IPRG-5323",,"CA003-16540","Not Installed","Not Installed","Not Installed","Not Installed",,,"No","On going","LP1 solution is not final","No"
"PE BDV AK blower- Direct connect","PE","PE Wiring","AK Blower","CL3","IPRG-4926",,"NA","Installed","Installed","Not Installed","Installed",,,"No","On going",,
"DC BUS optimization- Lower ducts volume clearance","PE","PE Wiring","DC BUS cables","CL3","IPRG-4500",,"NA","Installed","Not Relevant","Not Relevant","Not Relevant",,,"No","Done",,
